weight,metal_content,organic_content,is_threat
12,65,76,1
22,80,17,1
22,85,48,1
14,76,82,1
10,5,13,0
23,49,0,1
24,32,3,0
11,73,8,1
22,25,81,0
13,65,57,1
21,59,52,1
22,15,48,0
20,50,86,1
25,74,59,1
9,95,79,1
25,70,90,1
6,11,13,0
25,0,67,0
17,26,51,0
20,31,35,0
13,49,5,0
17,83,25,1
5,18,38,0
21,49,64,1
16,13,13,0
10,14,78,0
21,86,44,1
8,54,30,0
15,61,44,1
20,26,15,0
13,95,77,1
7,32,61,0
25,75,7,1
10,24,68,0
23,86,12,1
16,0,41,0
17,49,0,1
7,94,31,1
25,61,40,1
15,22,95,0
24,59,40,1
24,34,50,0
8,87,60,1
25,78,6,1
8,92,96,1
12,60,14,0
11,8,66,0
10,80,11,1
9,83,38,1
13,5,26,0
25,90,32,1
17,62,85,1
23,38,23,0
25,33,73,0
14,96,47,1
18,85,91,1
5,70,56,1
5,61,60,1
19,17,88,0
15,0,84,0
10,21,52,0
24,3,97,0
6,68,98,1
19,35,17,0
17,46,92,1
20,16,44,0
21,50,21,1
22,18,44,0
23,3,56,0
24,77,54,1
6,45,3,0
18,81,92,1
8,67,3,1
17,45,1,1
25,73,9,1
19,39,13,0
17,41,74,1
15,3,59,0
22,85,76,1
12,32,41,0
21,68,66,1
14,25,43,0
14,86,41,1
17,34,3,0
10,91,0,1
25,82,8,1
20,57,14,1
5,46,61,0
16,8,78,0
5,70,63,1
25,86,87,1
6,9,78,0
6,38,75,0
10,73,46,1
24,71,25,1
8,15,67,0
18,55,54,1
11,39,27,0
14,28,70,0
12,56,13,0
19,22,45,0
22,91,73,1
8,37,94,0
11,42,76,0
9,59,35,0
24,47,81,1
24,75,68,1
19,4,0,0
24,54,96,1
15,0,88,0
13,34,89,0
8,41,22,0
16,60,72,1
5,10,69,0
22,26,28,0
11,4,39,0
23,80,12,1
9,0,9,0
7,88,53,1
9,86,21,1
12,75,43,1
6,79,52,1
17,9,14,0
17,71,90,1
19,7,76,0
13,76,4,1
11,99,79,1
17,9,88,0
5,71,80,1
10,35,8,0
17,39,56,0
17,79,90,1
6,94,83,1
11,59,13,0
18,77,91,1
17,76,33,1
16,48,93,1
24,27,18,0
12,13,68,0
5,11,58,0
20,81,1,1
24,50,96,1
17,64,39,1
5,73,16,1
10,99,100,1
5,71,70,1
11,86,75,1
19,43,77,1
14,50,53,0
7,58,67,0
7,11,74,0
23,9,34,0
5,46,96,0
12,57,65,0
25,78,21,1
17,6,60,0
5,11,30,0
21,66,51,1
22,24,23,0
13,70,22,1
16,52,19,1
15,74,95,1
9,46,12,0
13,73,57,1
12,27,14,0
10,52,42,0
5,90,33,1
22,0,80,0
5,96,49,1
14,77,69,1
16,76,98,1
15,37,37,0
9,52,38,0
25,94,1,1
25,30,83,0
18,86,73,1
19,18,39,0
22,76,56,1
16,8,40,0
25,87,29,1
7,6,15,0
17,82,49,1
20,10,26,0
19,60,15,1
13,28,39,0
20,2,82,0
20,34,92,0
17,22,7,0
17,5,29,0
16,54,27,1
22,83,27,1
10,55,3,0
8,27,49,0
20,77,65,1
14,36,70,0
21,7,44,0
19,30,34,0
21,91,71,1
24,96,66,1
8,28,16,0
23,86,96,1
17,39,42,0
13,95,62,1
6,2,43,0
23,36,60,0
12,36,60,0
22,33,21,0
13,53,46,0
7,42,46,0
10,61,20,1
18,60,22,1
24,40,84,0
21,13,59,0
19,48,95,1
17,43,46,1
16,96,19,1
21,51,26,1
11,49,31,0
7,23,96,0
15,15,67,0
15,77,52,1
11,66,31,1
22,59,86,1
21,55,71,1
8,10,36,0
9,10,98,0
21,70,14,1
16,49,27,1
17,91,19,1
20,59,2,1
7,82,70,1
6,89,6,1
12,49,93,0
5,27,7,0
18,19,87,0
12,52,39,0
24,20,87,0
21,36,67,0
7,75,92,1
5,6,83,0
22,50,54,1
10,49,29,0
11,52,5,0
18,62,98,1
5,0,68,0
7,80,44,1
8,54,95,0
10,11,82,0
25,48,95,1
20,0,71,0
7,14,2,0
8,81,12,1
5,92,85,1
21,53,95,1
16,83,41,1
24,95,8,1
5,31,50,0
17,37,97,0
12,18,5,0
19,75,44,1
15,94,22,1
